querry_id,total_operators,distinct_operators,ascii_len,part_number
75220,14,5,286,25
127756,92,6,13980,40
777,30,8,245,24
6402,18,5,322,24
91946,16,5,226,31
175874,54,7,666,26
101128,18,6,262,24
37834,36,7,199,19
107904,16,6,248,24
173692,66,6,501,25
172121,16,6,237,24
86590,12,5,199,24
66520,70,9,317,24
6423,40,7,302,24
8840,28,6,316,24
74148,28,7,510,27
65679,144,9,592,28
123153,66,9,361,19
63016,50,10,3789,33
22585,52,8,625,27
95069,20,5,854,28
130744,28,6,548,21
23677,18,5,332,24
73294,16,5,1934,30
132925,40,7,428,33
14728,24,8,299,24
174536,80,8,740,26
30197,32,7,334,24
174772,56,7,596,26
84179,32,8,1197,34
87202,26,7,278,31
102225,54,9,429,24
61075,30,8,257,24
7748,12,5,235,24
104461,8,4,196,24
266557,108,7,940,28
86382,14,5,218,24
45679,116,10,719,26
128673,14,5,216,31
135367,16,6,388,26
107732,60,8,364,25
6433,30,6,291,24
42166,18,5,385,25
75006,44,8,1028,30
66536,18,6,332,24
75002,12,5,237,24
790,30,8,245,24
69807,16,5,341,25
74151,16,7,330,25
33699,36,7,878,26
37815,34,6,5944,35
274177,92,9,637,24
31274,12,5,237,24
119964,56,8,833,28
55642,12,5,1345,48
173877,64,7,481,25
118632,12,5,293,26
7514,12,5,243,24
4005,264,7,12193,35
105545,54,7,1644,34
265472,54,7,810,26
135134,32,8,461,26
134280,8,3,243,24
61093,86,9,388,25
6443,14,4,302,24
105323,54,7,1742,35
68966,16,7,298,24
7774,14,5,263,24
74169,16,6,715,27
75258,24,9,368,25
64127,72,8,373,25
66308,40,9,334,24
75015,14,5,218,24
180180,98,9,1327,29
126484,96,8,2908,32
23655,104,10,510,25
23898,12,5,1067,39
53473,18,7,337,33
73072,30,9,854,30
106889,36,7,440,25
134298,48,7,313,24
92808,20,7,310,24
129509,34,8,793,36
267866,54,7,930,28
7545,14,5,255,24
6213,22,6,651,26
33670,62,7,278,19
22774,52,8,625,27
75261,138,9,1028,30
31015,50,7,312,24
173898,92,7,604,25
31253,16,6,237,24
129734,140,8,1282,36
79879,14,5,286,25
175830,42,7,616,26
29160,32,6,577,26
107705,44,6,348,26
32107,24,7,584,26
90891,18,5,335,31
103362,32,6,364,25
181258,68,6,3308,32
265437,38,7,422,26
91985,44,9,249,31
104697,38,7,486,26
6464,16,8,320,25
